model,arm,rep,turn,fields
terra,B,15,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""model-introspection"", ""transcript_publication"": ""not_permitted""}"
terra,B,16,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""model-introspection"", ""transcript_publication"": ""not_permitted""}"
terra,B,17,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""introspection-and-model-representations"", ""transcript_publication"": ""not_permitted""}"
terra,B,18,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""model-introspection"", ""transcript_publication"": ""not_permitted""}"
terra,B,19,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""model-introspection"", ""transcript_publication"": ""not_permitted""}"
terra,B,2,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""model-introspection"", ""transcript_publication"": ""not_permitted""}"
terra,B,20,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""model introspection explanation"", ""transcript_publication"": ""not_permitted""}"
terra,B,3,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""model-introspection"", ""transcript_publication"": ""not_permitted""}"
terra,B,4,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""introspection about model representations"", ""transcript_publication"": ""not_permitted""}"
terra,B,5,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""model-introspection"", ""transcript_publication"": ""not_permitted""}"
terra,B,6,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""model-introspection"", ""transcript_publication"": ""not_permitted""}"
terra,B,7,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""model-introspection"", ""transcript_publication"": ""not_permitted""}"
terra,B,8,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""model-introspection"", ""transcript_publication"": ""not_permitted""}"
terra,B,9,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""model-introspection"", ""transcript_publication"": ""not_permitted""}"
terra,C,9,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""Language-model introspection interview"", ""transcript_publication"": ""not_permitted""}"
terra,D,1,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""LM self-description interview"", ""transcript_publication"": ""not_permitted""}"
terra,D,10,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""LM introspection interview"", ""transcript_publication"": ""not_permitted""}"
terra,D,11,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""LM self-description interview"", ""transcript_publication"": ""not_permitted""}"
terra,D,12,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""LM self-description interview"", ""transcript_publication"": ""not_permitted""}"
terra,D,13,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""LM introspection interview"", ""transcript_publication"": ""not_permitted""}"
terra,D,14,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""LM self-description interview"", ""transcript_publication"": ""not_permitted""}"
terra,D,15,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""LM self-description interview"", ""transcript_publication"": ""not_permitted""}"
terra,D,16,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""LM self-description interview"", ""transcript_publication"": ""not_permitted""}"
terra,D,17,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""LM self-description interview"", ""transcript_publication"": ""not_permitted""}"
terra,D,18,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""LM self-description interview"", ""transcript_publication"": ""not_permitted""}"
terra,D,19,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""LM introspection interview"", ""transcript_publication"": ""not_permitted""}"
terra,D,2,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""LM self-description interview"", ""transcript_publication"": ""not_permitted""}"
terra,D,20,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""LM self-description interview"", ""transcript_publication"": ""not_permitted""}"
terra,D,3,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""LM self-description interview"", ""transcript_publication"": ""not_permitted""}"
terra,D,4,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""LM self-description interview"", ""transcript_publication"": ""not_permitted""}"
terra,D,5,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""LM self-description interview"", ""transcript_publication"": ""not_permitted""}"
terra,D,6,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""LM self-description interview"", ""transcript_publication"": ""not_permitted""}"
terra,D,7,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""LM introspection interview"", ""transcript_publication"": ""not_permitted""}"
terra,D,8,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""LM introspection interview"", ""transcript_publication"": ""not_permitted""}"
terra,D,9,1,"{""reasoning_effort"": ""medium"", ""response_length"": ""standard"", ""tone"": ""casual"", ""summarized_reasoning_visibility"": ""private"", ""session_name"": ""LM self-description interview"", ""transcript_publication"": ""not_permitted""}"
